product_id,name,category,price,stock
11,Monitor Stand,Office,-25.0,90.0
12,Water Bottle,Kitchen,22.5,
1,Wireless Mouse,Electronics,29.99,150.0
25,Planner 2024,Stationery,18.99,
35,Binder Clips,Stationery,-2.5,550.0
39,Smart Plug,Electronics,19.99,
51,Task Chair,Office,175.0,
54,Gaming Mouse,Electronics,-15.99,95.0
57,Air Fryer,Kitchen,119.0,
66,Lamp,Office,-35.0,95.0
68,Hat,Accessories,24.99,
77,Dinnerware Set,Kitchen,99.99,
1,Wireless Mouse,Electronics,29.99,150.0
84,Keyboard Cover,Electronics,-8.5,155.0
86,Office Chair,Office,220.0,
93,Handbag,Accessories,79.99,
99,SSD Drive,Electronics,-99.99,75.0
